Airport_ICAO_Code,Airport_Name,State,Easting,Northing
KFNL,Fort Collins Loveland Municipal Airport,Colorado,2296587.23209878,2142911.08529732
KFOD,Fort Dodge Regional Airport,Iowa,3481262.90063126,2449961.83538203
KFXE,Fort Lauderdale Executive Airport,Florida,5016738.71492338,265728.188463465
KFLL,Fort Lauderdale Hollywood International Airport,Florida,5018709.56796417,250517.63847582
KFSM,Fort Smith Regional Airport,Arkansas,3462120.81343063,1432580.2821439
KFST,Fort Stockton Pecos County Airport,Texas,2526001.54392235,854247.749297907
KFWA,Fort Wayne International Airport,Indiana,4466539.03811887,2219005.92596848
KAFW,Fort Worth Alliance Airport,Texas,3138925.97858407,1121669.85008797
KFTW,Fort Worth Meacham International Airport,Texas,3134152.15312358,1099784.35514575
KFWS,Fort Worth Spinks Airport,Texas,3140098.13068626,1066655.99012492
KFMN,Four Corners Regional Airport,New-Mexico,1944088.59464287,1622805.22966884
KFOK,Francis S Gabreski Airport,New-York,5842290.53891245,2199473.25959996
KMLS,Frank Wiley Field,Montana,2200769.85460531,3045350.90103371
KFDK,Frederick Municipal Airport,Maryland,5322960.31941737,1995208.80812594
KSER,Freeman Municipal Airport,Indiana,4388537.87166725,1925431.59893675
KFET,Fremont Municipal Airport,Nebraska,3226377.0469775,2287511.44474682
KFRH,French Lick Municipal Airport,Indiana,4308653.5752726,1866851.84280974
KFCH,Fresno Chandler Executive Airport,California,674919.389063759,1621602.69132349
KFAT,Fresno Yosemite International Airport,California,686088.670813467,1627589.12348047
KFHR,Friday Harbor Airport,Washington,324063.268960387,3384666.70735636
KSUN,Friedman Memorial Airport,Idaho,1279828.41140769,2592708.98204543
KFTY,Fulton County Airport Brown Field,Georgia,4540312.77140866,1225471.22616186
KGLE,Gainesville Municipal Airport,Texas,3152264.11711614,1208660.17786215
KGNV,Gainesville Regional Airport,Florida,4786656.86958066,698793.577714689
KGBG,Galesburg Municipal Airport,Illinois,3893167.84478107,2213133.1500266
KBZN,Gallatin Field,Montana,1624004.17954076,2942613.53626928
KGUP,Gallup Municipal Airport,New-Mexico,1882875.18578792,1456029.78359124
KGCK,Garden City Regional Airport,Kansas,2766037.90981181,1786193.5885207
KRIL,Garfield County Regional Airport,Colorado,1999170.55082488,2010628.79005651
KGYY,Gary Chicago International Airport,Indiana,4223688.00368359,2311970.03679874
KGLR,Gaylord Regional Airport,Michigan,4520361.12178382,2823469.3078778
KBOS,General Edward Lawrence Logan International Airport,Massachusetts,6020411.70820814,2422176.45508967
KMKE,General Mitchell International Airport,Wisconsin,4170709.73619166,2508970.50360772
KWJF,General WM J Fox Airfield,California,850237.583541578,1352934.20498541
KGVQ,Genesee County Airport,New-York,5236089.06065687,2521620.42161046
KIAH,George Bush Intercontinental Houston Airport,Texas,3355462.49100361,735945.977011526
KGGE,Georgetown County Airport,South-Carolina,5109938.59239168,1164059.93964136
KGTU,Georgetown Municipal Airport,Texas,3099438.73902932,824047.042192869
KGRR,Gerald R. Ford International Airport,Michigan,4430654.30781133,2499041.95265467
